Age,Country,Streaming Platform,Top Genre,Minutes Streamed Per Day,Number of Songs Liked,Most Played Artist,Subscription Type,Listening Time (Morning/Afternoon/Night),Discover Weekly Engagement (%),Repeat Song Rate (%)
15,South Korea,Apple Music,Jazz,369,17,Billie Eilish,Premium,Night,14.03,26.76
23,Australia,Amazon Music,EDM,446,312,Ed Sheeran,Premium,Morning,41.88,16.22
39,Australia,Spotify,Metal,506,480,Bad Bunny,Free,Afternoon,58.13,44.4
40,Australia,Apple Music,Hip-Hop,190,388,Taylor Swift,Premium,Morning,77.12,34.11
18,Germany,YouTube,Hip-Hop,565,91,Bad Bunny,Free,Night,61.56,32.49
29,UK,Deezer,EDM,467,453,Ed Sheeran,Free,Night,59.67,59.87
43,Brazil,Tidal,Reggae,188,128,BTS,Free,Night,45.74,35.48
26,Japan,Spotify,Classical,22,471,Adele,Free,Afternoon,83.63,38.97
47,Germany,Deezer,R&B,273,24,Drake,Premium,Morning,18.77,20.37
29,South Korea,Apple Music,Rock,245,147,BTS,Free,Night,68.87,12.69
47,Japan,Spotify,Hip-Hop,177,115,Ed Sheeran,Free,Morning,52.53,53.46
28,UK,Deezer,Metal,235,61,Billie Eilish,Premium,Morning,43.75,13.32
34,India,Deezer,Reggae,407,176,Billie Eilish,Free,Afternoon,32.78,68.24
54,France,Apple Music,Country,377,404,Adele,Free,Night,62.71,45.62
54,South Korea,Tidal,Jazz,144,368,Drake,Premium,Afternoon,55.03,16.09
42,USA,Tidal,R&B,87,270,Bad Bunny,Premium,Afternoon,58.22,38.34
29,Japan,Deezer,Jazz,268,294,BTS,Free,Morning,55.03,12.92
48,Australia,Apple Music,Jazz,450,53,BTS,Premium,Afternoon,46.15,49.07
35,India,Tidal,Rock,234,50,Adele,Premium,Morning,54.39,68.75
52,Germany,Spotify,Country,76,343,Bad Bunny,Free,Afternoon,14.33,59.65
36,Canada,Spotify,Classical,135,153,The Weeknd,Premium,Morning,33.73,20.99
53,Brazil,Spotify,Hip-Hop,581,244,Drake,Premium,Night,25.59,46.72
60,Canada,Apple Music,Reggae,520,434,The Weeknd,Premium,Afternoon,74.66,14.48
35,Canada,Deezer,Hip-Hop,408,379,The Weeknd,Premium,Afternoon,51.88,9.16
57,Canada,Amazon Music,Reggae,393,53,The Weeknd,Free,Night,32.26,13.05
38,Australia,YouTube,R&B,218,181,Post Malone,Free,Morning,48.47,55.39
54,South Korea,Apple Music,EDM,249,315,Billie Eilish,Free,Afternoon,75.91,28.6
60,UK,Tidal,Hip-Hop,428,235,Bad Bunny,Free,Morning,21.66,55.9
46,France,Tidal,Rock,131,35,BTS,Free,Night,60.85,79.78
58,Brazil,Tidal,R&B,399,495,Adele,Premium,Morning,78.72,49.64
59,Australia,Apple Music,R&B,592,29,Adele,Free,Afternoon,59.08,63.86
40,UK,Amazon Music,Metal,415,183,Billie Eilish,Premium,Morning,80.78,63.13
48,South Korea,Tidal,Country,358,294,Taylor Swift,Premium,Afternoon,34.33,15.41
34,Germany,YouTube,R&B,428,44,The Weeknd,Premium,Night,16.89,68.69
57,France,YouTube,Rock,437,65,The Weeknd,Premium,Night,32.72,23.32
46,Australia,Amazon Music,Classical,454,438,Adele,Premium,Afternoon,31.07,32.09
56,USA,Spotify,Jazz,181,288,Drake,Premium,Afternoon,12.84,76.59
55,India,YouTube,Country,268,6,Adele,Premium,Morning,67.63,40.23
53,Australia,Tidal,Country,220,221,Taylor Swift,Free,Night,30.46,37.55
39,Brazil,Deezer,Classical,77,199,Dua Lipa,Free,Morning,24.97,14.04
58,USA,YouTube,R&B,384,466,Ed Sheeran,Premium,Afternoon,18.71,9.61
16,Brazil,Spotify,Pop,417,395,Bad Bunny,Free,Afternoon,17.06,37.92
33,Canada,Apple Music,Country,491,394,Bad Bunny,Premium,Night,53.65,37.48
22,Australia,Spotify,EDM,558,372,Ed Sheeran,Premium,Afternoon,25.1,15.66
32,South Korea,Amazon Music,EDM,148,412,BTS,Free,Night,27.07,41.04
25,Canada,Spotify,Reggae,115,334,Ed Sheeran,Free,Morning,25.09,38.89
33,Germany,YouTube,R&B,70,312,Bad Bunny,Free,Night,38.15,12.21
27,Japan,Amazon Music,EDM,153,117,BTS,Free,Morning,24.05,25.48
13,Germany,Amazon Music,Reggae,30,328,Adele,Free,Night,30.68,43.41
40,Australia,Spotify,Rock,224,264,Post Malone,Premium,Afternoon,88.48,30.51
47,Japan,Tidal,Classical,199,253,Billie Eilish,Premium,Afternoon,64.34,58.71
20,South Korea,Amazon Music,EDM,46,31,Dua Lipa,Premium,Night,86.14,54.66
18,USA,Amazon Music,Reggae,493,417,Bad Bunny,Premium,Afternoon,72.34,6.65
56,France,Tidal,Country,581,299,BTS,Free,Afternoon,78.27,38.91
27,USA,Spotify,Jazz,452,281,Adele,Premium,Afternoon,33.96,32.59
26,Australia,Apple Music,Jazz,570,420,Adele,Free,Morning,84.54,57.68
42,Germany,YouTube,Metal,92,323,Post Malone,Free,Morning,42.07,33.74
29,Canada,Tidal,Reggae,295,206,Post Malone,Free,Night,64.1,75.5
40,Germany,YouTube,Pop,173,297,Post Malone,Premium,Afternoon,37.1,25.83
57,Canada,YouTube,Rock,546,275,Taylor Swift,Free,Afternoon,79.18,10.88
54,India,Tidal,Classical,194,36,Bad Bunny,Premium,Afternoon,76.69,73.87
57,Canada,Deezer,Classical,398,475,The Weeknd,Premium,Night,84.74,44.84
26,India,YouTube,Reggae,81,473,Dua Lipa,Premium,Night,45.56,22.14
33,South Korea,Tidal,Hip-Hop,65,385,Bad Bunny,Free,Morning,37.15,47.05
41,Australia,Amazon Music,Pop,531,429,Dua Lipa,Premium,Morning,12.23,20.85
15,USA,Apple Music,Jazz,86,455,Ed Sheeran,Free,Night,71.51,78.48
41,France,Amazon Music,Metal,252,227,Adele,Free,Night,81.26,12.93
22,Germany,Deezer,Pop,435,490,Billie Eilish,Premium,Night,29.28,29.05
36,UK,Tidal,Reggae,205,470,Taylor Swift,Free,Afternoon,50.32,13.86
14,India,Spotify,R&B,199,446,Dua Lipa,Premium,Night,78.98,73.73
45,Canada,YouTube,Hip-Hop,343,26,Billie Eilish,Free,Night,26.89,14.84
19,Australia,Tidal,Metal,482,165,Billie Eilish,Free,Night,62.82,15.2
25,France,YouTube,EDM,156,114,Billie Eilish,Premium,Morning,52.7,70.95
32,Brazil,Deezer,Classical,200,33,Dua Lipa,Free,Afternoon,34.72,70.23
16,India,YouTube,EDM,397,417,Billie Eilish,Free,Night,25.13,22.45
57,France,YouTube,Hip-Hop,266,445,Adele,Premium,Night,21.87,57.57
38,Canada,Spotify,EDM,445,85,Dua Lipa,Free,Afternoon,80.94,13.53
46,India,Amazon Music,R&B,588,64,Billie Eilish,Premium,Night,28.88,43.85
15,Brazil,Tidal,Jazz,568,296,Adele,Free,Afternoon,21.77,64.39
14,USA,YouTube,Classical,547,277,Dua Lipa,Free,Night,69.07,17.89
21,South Korea,YouTube,EDM,217,101,Billie Eilish,Free,Afternoon,12.23,40.66
19,USA,Tidal,Reggae,146,130,Ed Sheeran,Premium,Afternoon,44.31,19.83
27,Canada,Spotify,EDM,112,54,Post Malone,Free,Morning,47.81,34.63
34,Germany,Spotify,Reggae,209,210,The Weeknd,Free,Afternoon,52.94,73.28
59,India,Deezer,EDM,468,98,Ed Sheeran,Free,Afternoon,49.87,79.18
22,USA,Amazon Music,Hip-Hop,291,349,Adele,Free,Night,65.93,68.21
39,Japan,Deezer,Metal,493,300,Bad Bunny,Free,Night,62.25,14.59
30,Canada,Spotify,Reggae,388,285,Taylor Swift,Free,Afternoon,31.28,16.46
31,Brazil,Spotify,Rock,186,95,Drake,Free,Night,66.12,48.57
53,Canada,Tidal,Classical,356,44,Billie Eilish,Free,Morning,19.48,13.76
43,Brazil,Apple Music,Classical,238,177,Bad Bunny,Free,Afternoon,67.17,36.28
36,India,Tidal,EDM,285,64,Post Malone,Free,Afternoon,85.03,9.68
21,Japan,Spotify,Pop,46,165,Adele,Premium,Afternoon,58.75,66.98
51,USA,Tidal,Classical,172,418,Ed Sheeran,Free,Night,63.86,56.47
25,Germany,YouTube,R&B,360,244,Taylor Swift,Free,Morning,21.37,74.14
39,Japan,YouTube,R&B,586,178,Billie Eilish,Premium,Afternoon,32.69,68.58
26,Canada,Deezer,Pop,33,326,Bad Bunny,Premium,Afternoon,55.66,52.51
44,India,Tidal,Hip-Hop,310,178,Taylor Swift,Premium,Night,87.1,36.55
42,Brazil,YouTube,Pop,35,115,Dua Lipa,Premium,Night,21.84,70.43
32,Brazil,Amazon Music,Metal,246,345,Dua Lipa,Free,Morning,53.3,43.28
21,Japan,YouTube,Classical,421,206,Dua Lipa,Free,Afternoon,52.42,38.16
37,France,Deezer,Rock,428,272,The Weeknd,Free,Afternoon,24.89,78.46
38,Germany,Amazon Music,Hip-Hop,146,35,Taylor Swift,Premium,Night,76.54,28.92
26,Brazil,YouTube,Rock,285,408,Taylor Swift,Premium,Night,16.91,58.1
24,USA,Deezer,Hip-Hop,211,177,Billie Eilish,Free,Morning,78.93,12.64
27,India,Deezer,Metal,513,485,BTS,Free,Morning,88.85,30.47
34,France,Tidal,R&B,524,354,Ed Sheeran,Free,Night,74.01,62.96
38,Australia,Spotify,Reggae,427,395,Billie Eilish,Premium,Afternoon,45.35,78.06
29,Germany,Deezer,EDM,561,447,The Weeknd,Free,Morning,35.28,34.84
53,Germany,Apple Music,EDM,13,490,BTS,Free,Afternoon,40.23,44.98
53,France,YouTube,Metal,267,417,Bad Bunny,Premium,Night,36.69,13.0
27,USA,Amazon Music,Pop,46,249,The Weeknd,Premium,Morning,13.88,74.66
21,Australia,Amazon Music,Metal,301,318,Post Malone,Premium,Afternoon,26.48,67.61
42,Germany,YouTube,Metal,230,185,Adele,Premium,Night,13.85,69.06
19,South Korea,Tidal,R&B,414,211,Adele,Premium,Morning,13.49,17.26
48,USA,Apple Music,EDM,296,264,Bad Bunny,Free,Night,53.12,34.71
25,USA,Spotify,Rock,12,200,Dua Lipa,Premium,Night,36.02,43.63
49,Japan,Amazon Music,Jazz,35,389,Taylor Swift,Free,Afternoon,50.09,54.93
37,France,Apple Music,Classical,349,58,Post Malone,Premium,Morning,28.37,7.46
39,Japan,Deezer,Reggae,368,26,BTS,Premium,Morning,18.71,45.42
35,Canada,Amazon Music,R&B,158,172,Taylor Swift,Free,Morning,42.74,12.21
56,France,Deezer,Jazz,415,471,Drake,Free,Night,58.78,61.35
33,Canada,YouTube,Reggae,225,36,Adele,Premium,Morning,28.3,37.49
16,Australia,Deezer,R&B,527,263,Dua Lipa,Premium,Afternoon,44.07,15.78
29,UK,Amazon Music,Metal,44,388,BTS,Free,Morning,88.26,45.55
19,Brazil,Tidal,Hip-Hop,207,447,The Weeknd,Free,Afternoon,23.2,67.29
39,Brazil,Spotify,Metal,598,467,BTS,Free,Night,26.08,60.64
13,India,YouTube,Country,198,115,Bad Bunny,Free,Night,16.92,71.13
41,Germany,Tidal,Classical,389,268,Adele,Premium,Afternoon,81.73,20.87
33,Japan,Tidal,Jazz,385,386,Taylor Swift,Premium,Afternoon,77.85,22.85
56,Australia,Tidal,EDM,451,78,The Weeknd,Premium,Night,89.72,54.05
58,France,Apple Music,Rock,486,347,Billie Eilish,Premium,Morning,65.42,47.6
51,India,Apple Music,EDM,444,272,Post Malone,Premium,Night,29.67,16.48
45,Japan,Deezer,Rock,468,464,Billie Eilish,Premium,Morning,12.67,7.12
24,India,Apple Music,R&B,12,253,Drake,Premium,Night,69.94,74.01
39,France,YouTube,Hip-Hop,178,88,Bad Bunny,Free,Morning,56.45,6.81
55,Australia,Tidal,Classical,160,230,The Weeknd,Premium,Morning,48.59,40.22
17,UK,Amazon Music,Rock,65,318,Billie Eilish,Premium,Afternoon,28.48,13.72
53,USA,Tidal,R&B,171,256,BTS,Premium,Afternoon,29.07,34.59
33,India,Deezer,Rock,481,73,Taylor Swift,Free,Night,73.24,61.69
41,Australia,Tidal,Pop,101,81,Dua Lipa,Free,Morning,32.75,55.72
52,Australia,Tidal,Rock,281,103,Dua Lipa,Premium,Morning,78.26,25.58
25,South Korea,Apple Music,Jazz,457,75,Ed Sheeran,Free,Afternoon,31.61,51.56
56,South Korea,Deezer,Country,232,93,Drake,Free,Night,20.23,16.59
45,UK,Apple Music,Hip-Hop,459,286,Drake,Free,Night,37.72,41.67
35,Germany,Amazon Music,Jazz,33,328,Taylor Swift,Premium,Morning,86.6,56.48
32,Canada,Deezer,Jazz,431,385,Taylor Swift,Free,Afternoon,78.59,70.3
52,USA,Deezer,Metal,535,3,Dua Lipa,Premium,Afternoon,88.72,8.89
35,South Korea,Deezer,Pop,218,461,Post Malone,Free,Night,42.17,77.18
28,Australia,Apple Music,Hip-Hop,590,31,Ed Sheeran,Premium,Night,46.96,69.66
55,India,Deezer,Pop,585,157,Ed Sheeran,Free,Night,16.8,68.94
54,South Korea,Tidal,Pop,484,192,Taylor Swift,Free,Night,87.65,51.8
52,Australia,YouTube,Hip-Hop,322,372,Billie Eilish,Free,Afternoon,32.08,39.94
24,India,Deezer,Rock,327,309,Adele,Free,Morning,28.67,20.7
36,Canada,Amazon Music,Rock,179,420,BTS,Premium,Afternoon,50.28,5.61
60,South Korea,Apple Music,EDM,43,361,Ed Sheeran,Free,Morning,41.85,27.77
38,UK,Tidal,Rock,427,427,The Weeknd,Free,Night,16.15,53.7
35,Germany,Apple Music,Country,283,119,BTS,Premium,Morning,62.51,41.18
47,Australia,Amazon Music,Classical,299,392,Ed Sheeran,Premium,Night,64.24,64.53
34,South Korea,Tidal,Hip-Hop,319,179,Bad Bunny,Free,Afternoon,59.88,69.17
47,Canada,Tidal,R&B,391,211,The Weeknd,Free,Afternoon,81.1,27.82
24,France,Amazon Music,Reggae,304,362,Taylor Swift,Free,Afternoon,26.92,21.76
57,Canada,YouTube,Pop,49,242,Taylor Swift,Free,Night,17.35,77.52
51,USA,Amazon Music,Classical,376,65,Post Malone,Free,Night,35.49,28.05
26,Canada,YouTube,Hip-Hop,201,279,BTS,Premium,Afternoon,49.37,7.77
46,UK,Deezer,Hip-Hop,123,236,Billie Eilish,Free,Afternoon,53.68,51.14
33,Germany,Apple Music,EDM,569,324,Adele,Free,Night,67.26,28.52
31,France,Deezer,Rock,577,117,Post Malone,Premium,Night,74.71,55.67
15,Japan,Amazon Music,Reggae,86,355,Bad Bunny,Premium,Morning,30.89,43.15
34,Brazil,Apple Music,Rock,375,127,Drake,Free,Morning,35.38,58.7
56,Japan,Apple Music,Metal,535,392,Adele,Premium,Afternoon,81.2,53.04
56,UK,Tidal,Jazz,31,425,Taylor Swift,Premium,Night,29.24,52.6
51,USA,Spotify,Metal,378,203,Adele,Free,Afternoon,19.81,51.04
41,India,Deezer,Country,27,461,Drake,Premium,Night,13.3,29.2
17,South Korea,YouTube,Jazz,559,398,Ed Sheeran,Premium,Night,48.85,18.4
59,India,YouTube,Hip-Hop,21,72,BTS,Free,Night,61.65,36.63
24,Japan,Amazon Music,Metal,204,332,Adele,Free,Afternoon,82.16,71.19
60,Canada,Tidal,Metal,494,145,Post Malone,Free,Morning,29.45,67.7
41,USA,YouTube,Country,261,405,Dua Lipa,Free,Night,72.55,13.48
26,South Korea,Amazon Music,Reggae,72,268,Dua Lipa,Free,Morning,37.8,10.77
17,Australia,YouTube,Country,240,71,Drake,Premium,Night,65.35,72.71
49,Australia,YouTube,Classical,92,271,Taylor Swift,Premium,Afternoon,68.97,20.1
29,Brazil,Apple Music,Hip-Hop,19,109,Dua Lipa,Free,Morning,45.57,38.07
57,France,Amazon Music,Metal,564,446,Adele,Premium,Night,61.36,79.83
46,Japan,Amazon Music,Country,176,390,Bad Bunny,Premium,Night,15.99,67.2
48,USA,Deezer,Pop,260,426,Post Malone,Premium,Night,34.34,34.55
21,Canada,Deezer,Metal,340,464,Post Malone,Free,Morning,63.97,44.01
37,South Korea,Tidal,Hip-Hop,56,85,Dua Lipa,Premium,Afternoon,58.45,26.16
53,USA,Apple Music,Reggae,478,300,Taylor Swift,Free,Afternoon,88.44,75.12
21,Germany,Tidal,R&B,224,353,The Weeknd,Free,Afternoon,60.45,36.42
29,Canada,Deezer,Classical,479,32,Post Malone,Premium,Morning,69.75,60.07
49,USA,Amazon Music,Country,352,443,Ed Sheeran,Free,Afternoon,73.11,36.69
14,South Korea,Spotify,Rock,366,175,Ed Sheeran,Free,Night,67.7,65.69
19,USA,Spotify,Pop,438,221,Taylor Swift,Free,Night,45.18,5.16
27,France,Deezer,Jazz,567,287,Dua Lipa,Premium,Afternoon,80.37,74.47
14,South Korea,Deezer,Country,189,374,The Weeknd,Free,Night,37.27,8.55
28,Canada,Amazon Music,Country,161,255,Dua Lipa,Free,Afternoon,22.79,77.42
38,UK,Amazon Music,Rock,380,26,Bad Bunny,Premium,Morning,26.3,70.33
53,Canada,Amazon Music,Rock,533,78,Bad Bunny,Free,Night,86.21,62.42
41,France,Amazon Music,Hip-Hop,553,435,Billie Eilish,Free,Morning,88.95,24.62
49,Canada,YouTube,EDM,380,487,Billie Eilish,Premium,Afternoon,24.92,71.96
52,South Korea,YouTube,Country,86,9,Post Malone,Free,Afternoon,41.64,66.4
40,Brazil,Deezer,EDM,485,342,Drake,Premium,Night,44.37,67.99
28,Japan,Apple Music,Metal,88,381,Adele,Free,Morning,83.56,28.87
26,Australia,YouTube,Rock,36,144,Drake,Free,Morning,48.24,34.01
52,South Korea,Tidal,Jazz,490,276,Taylor Swift,Premium,Afternoon,85.78,32.87
39,France,Tidal,Reggae,502,97,Post Malone,Premium,Morning,71.13,41.51
28,France,Amazon Music,Hip-Hop,208,357,Taylor Swift,Free,Afternoon,70.65,62.86
58,France,Apple Music,Reggae,258,229,Post Malone,Premium,Night,30.14,38.11
56,South Korea,Deezer,Pop,514,162,Adele,Free,Afternoon,38.81,42.24
35,Australia,Spotify,Hip-Hop,140,196,Ed Sheeran,Free,Afternoon,18.41,10.69
36,Brazil,Amazon Music,Metal,293,394,Drake,Free,Night,23.48,69.7
59,Australia,Amazon Music,Rock,86,403,Post Malone,Premium,Morning,74.47,19.36
13,Germany,Amazon Music,Pop,484,61,Adele,Free,Morning,19.13,79.11
24,UK,Amazon Music,Pop,26,231,Post Malone,Premium,Night,74.77,51.88
51,UK,Apple Music,Hip-Hop,352,251,Drake,Free,Morning,69.26,43.88
51,Brazil,Apple Music,Hip-Hop,277,89,Dua Lipa,Free,Morning,36.89,39.3
14,Japan,Spotify,Pop,362,325,The Weeknd,Free,Morning,89.09,39.86
24,South Korea,YouTube,Hip-Hop,274,316,Bad Bunny,Premium,Morning,32.44,42.42
17,South Korea,Amazon Music,Jazz,152,123,Adele,Free,Night,56.88,24.12
36,Japan,Spotify,R&B,525,277,Bad Bunny,Premium,Morning,66.09,77.34
40,Brazil,Apple Music,Classical,69,301,Post Malone,Free,Night,55.94,31.3
24,UK,Apple Music,Country,208,72,Ed Sheeran,Premium,Afternoon,83.46,11.43
55,South Korea,Amazon Music,R&B,221,193,Ed Sheeran,Free,Afternoon,36.87,14.2
53,Japan,Tidal,R&B,51,98,Ed Sheeran,Free,Afternoon,16.92,11.46
49,France,YouTube,Metal,375,300,BTS,Free,Morning,55.75,11.62
44,Japan,Deezer,Reggae,82,434,Taylor Swift,Free,Night,41.28,23.49
45,Japan,Apple Music,Rock,102,21,Drake,Free,Morning,25.54,66.33
34,Australia,Tidal,Rock,31,4,Adele,Free,Afternoon,29.8,49.99
21,Germany,YouTube,EDM,270,53,Drake,Premium,Night,46.84,16.21
58,France,Deezer,Hip-Hop,571,135,Adele,Premium,Night,27.39,54.96
41,Canada,Spotify,Pop,24,270,Drake,Premium,Morning,78.17,22.37
18,UK,YouTube,Hip-Hop,388,62,Billie Eilish,Free,Morning,59.32,71.32
17,Brazil,Amazon Music,Country,521,427,Adele,Premium,Morning,71.59,75.49
46,Brazil,Amazon Music,Jazz,362,412,Post Malone,Free,Morning,31.42,64.15
28,France,Deezer,Reggae,11,84,BTS,Free,Afternoon,69.5,56.26
55,Canada,Spotify,EDM,590,32,The Weeknd,Free,Morning,89.86,15.32
23,South Korea,Deezer,Country,501,361,Drake,Premium,Night,80.6,61.23
34,Australia,YouTube,EDM,56,327,Taylor Swift,Free,Afternoon,42.6,48.32
39,South Korea,Amazon Music,EDM,272,277,The Weeknd,Premium,Morning,39.7,48.24
57,South Korea,Spotify,Classical,579,413,BTS,Free,Afternoon,26.65,56.91
25,Canada,Spotify,EDM,183,179,Billie Eilish,Premium,Night,28.62,35.2
42,Germany,Spotify,Metal,529,249,Post Malone,Free,Morning,36.95,78.93
35,India,Deezer,Hip-Hop,88,315,Adele,Premium,Afternoon,85.45,79.32
55,UK,Amazon Music,Pop,259,175,BTS,Premium,Night,47.43,5.96
60,South Korea,Apple Music,EDM,511,183,Dua Lipa,Premium,Morning,43.31,5.37
43,Japan,Tidal,EDM,434,130,Adele,Premium,Night,32.49,21.25
53,Australia,Tidal,Rock,492,63,Dua Lipa,Free,Night,72.26,38.06
38,Australia,Deezer,Pop,228,89,Dua Lipa,Premium,Night,12.26,36.42
30,Australia,Amazon Music,Metal,330,424,Drake,Premium,Night,84.44,67.31
37,Australia,Amazon Music,Classical,220,305,Adele,Premium,Morning,36.76,65.74
17,Canada,Spotify,Reggae,87,326,Bad Bunny,Free,Afternoon,14.18,43.84
58,France,YouTube,Reggae,121,476,Dua Lipa,Free,Morning,53.16,6.63
60,USA,Deezer,Metal,426,465,Taylor Swift,Premium,Morning,55.75,40.98
35,Australia,Apple Music,EDM,438,238,Adele,Free,Night,26.79,79.32
50,India,YouTube,Country,524,91,Billie Eilish,Premium,Afternoon,70.83,26.29
28,Canada,Amazon Music,Country,217,386,Post Malone,Premium,Night,58.98,71.21
49,South Korea,Spotify,Classical,296,260,Billie Eilish,Premium,Morning,31.46,62.67
28,UK,Amazon Music,Pop,275,74,Dua Lipa,Free,Morning,60.44,65.31
43,Brazil,Tidal,Metal,325,268,Drake,Free,Night,87.16,33.17
29,Brazil,YouTube,Metal,519,396,Drake,Free,Night,43.41,16.76
28,South Korea,Amazon Music,Hip-Hop,470,498,The Weeknd,Free,Night,83.95,60.65
17,Canada,Spotify,R&B,90,105,Drake,Premium,Afternoon,36.99,68.66
44,Germany,Amazon Music,Jazz,129,128,BTS,Free,Night,20.54,18.07
40,Canada,YouTube,Pop,252,310,The Weeknd,Premium,Morning,38.34,13.11
41,Brazil,Amazon Music,Pop,99,92,Adele,Premium,Morning,74.0,17.92
32,USA,Tidal,Metal,320,107,Ed Sheeran,Premium,Morning,72.64,18.39
13,Brazil,Amazon Music,R&B,286,343,Post Malone,Free,Morning,11.26,40.91
54,Brazil,Tidal,Metal,274,342,Billie Eilish,Premium,Night,44.29,50.23
20,France,Tidal,Classical,421,481,The Weeknd,Free,Afternoon,53.96,70.26
23,Brazil,Tidal,Reggae,44,324,Post Malone,Premium,Afternoon,30.87,13.27
27,UK,Amazon Music,Pop,372,85,Billie Eilish,Free,Morning,25.58,34.7
19,France,Amazon Music,Jazz,487,180,Billie Eilish,Premium,Afternoon,20.06,46.17
31,India,YouTube,Metal,334,112,Adele,Free,Night,40.69,55.87
42,Australia,Amazon Music,Hip-Hop,518,303,Adele,Premium,Night,41.58,73.26
29,Canada,Tidal,Reggae,289,385,Post Malone,Free,Morning,14.78,23.81
56,UK,Spotify,Country,105,454,Drake,Free,Night,27.21,45.77
25,Canada,YouTube,Jazz,367,252,BTS,Free,Night,32.63,25.2
24,Japan,YouTube,Hip-Hop,254,41,The Weeknd,Free,Night,10.81,50.39
22,Canada,Tidal,EDM,119,281,Drake,Free,Night,10.41,42.39
33,USA,Amazon Music,Rock,136,417,Post Malone,Free,Morning,31.96,25.51
47,Brazil,Deezer,Classical,315,281,Dua Lipa,Free,Night,45.09,65.76
47,UK,Deezer,Pop,66,460,Bad Bunny,Premium,Afternoon,67.77,77.0
52,France,Deezer,R&B,205,479,Ed Sheeran,Free,Night,84.43,37.74
29,France,Tidal,Hip-Hop,442,464,Drake,Free,Night,46.99,24.97
47,Australia,Tidal,Pop,137,496,The Weeknd,Premium,Morning,72.47,50.54
35,USA,Tidal,Metal,197,466,BTS,Premium,Afternoon,62.49,37.14
27,South Korea,Spotify,Country,331,476,Post Malone,Premium,Afternoon,51.64,11.71
55,India,Tidal,Hip-Hop,90,376,Post Malone,Free,Morning,18.76,16.22
45,USA,Deezer,R&B,501,442,Post Malone,Free,Morning,43.06,14.42
28,Australia,YouTube,Pop,270,107,Post Malone,Premium,Night,14.88,50.68
